AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DLC count,About the game,Supported languages,Full audio languages,Reviews,Header image,Website,Support url,Support email,Windows,Mac,Linux,Metacritic score,Metacritic url,User score,Positive,Negative,Score rank,Achievements,Recommendations,Notes,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres,Tags,Screenshots,Movies
1123230,HEXTERMINATE,"May 22, 2020",0 - 20000,0,0,14.99,0,"'This galaxy is ours.' — Emperor Elion VII A fairly straightforward statement, although not one echoed by all of the other factions in the galaxy. HEXTERMINATE puts you in command of the Imperial flagship, under orders to conquer the galaxy. Diplomacy has been discarded in favour of the 'more firepower' approach, as 'making friends' is not on the Emperor's agenda. How difficult can it be? Modular construction Each ship is built out of hexagonal modules which slot together, including armour, reactors and weapons. With dozens of different types and rarity levels, you build the spec you want. It is your choice how you will tackle galactic conquest: from massive behemoths with layered armour to blitzing sniper battlecruisers. Given that every module is individually destructible, a few well placed shots at your enemy's ships can be devastating. A living galaxy The galaxy changes over time as the various factions vie for power. Fleets embark on missions, sectors are won and lost, every game will play out differently. Even in the middle of a fight reinforcements can turn the tide for either side. Your own fleet Assemble a fleet to accompany you in your quest, from long range gunships, front-line battleships and support vessels. Or decide to keep all the glory for yourself, fighting on your own against a hostile galaxy. Perk system Further customise how you tackle HEXTERMINATE by acquiring perks as you destroy enemy ships: from access to experimental ships to add to your fleet to increased rate of fire for each landed shot, you'll find a range of options to complement your style of play.",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1123230/header.jpg?t=1595876933,https://pedro-nunes.net/hexterminate/,,wingsofsteelgamedev@protonmail.com,True,False,False,0,,0,17,2,,17,0,,0,0,0,0,Wings of Steel,Wings of Steel,"Single-player,Steam Achievements,Steam Cloud","Action,Indie","Indie,Action,Space,Sci-fi,Singleplayer,Shoot 'Em Up","https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_d9930e3ed3ed9915b0d73adf8b4f5fac8dd6d461.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_023eb3dd3597223d668f7c70743a63b7d30cd876.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_167fa405487a995b267989633ad1596174982f51.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_24a73d14398db4a31994048df987a81f101fb051.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_877fdeaa40994d6c46b8b33d45b38f1be3a509a7.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_74e1cec086b9c789d615526f7e672aef7b7a8b8d.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_0a1687d0763d9af2efe2c4261bec288bbda85c75.1920x1080.jpg?t=1595876933,https://cdn.akamai.steamstatic.com/steam/apps/1123230/ss_da51db95e10b7fc3bb756fc9b98056ba3f96b068.1920x1080.jpg?t=1595876933",http://cdn.akamai.steamstatic.com/steam/apps/256781345/movie_max.mp4?t=1587901066
1800340,cursor0x0,"Sep 23, 2022",0 - 20000,0,0,14.44,0,"cursor0x0 is a collection of various cursor mini games that require a good reaction, stamina, and precision. Fight enemies, win races, dodge bullets, complete different goals to unlock new challenge types and reach the final level! 30+ levels testing different mouse control skills: dodging, racing, stunts, drag and drop, etc. and bosses that require to demonstrate what you've learned to beat them. Every level features something special. Three difficulty settings : from Rookie, suitable for new players, to almost unbeatable Expert one. Local multiplayer for 2-4 players allowing to connect multiple mice and compete with friends. More than a hundred of extra goals , making the levels harder. It will be a long journey to beat them all!","['English', 'Russian']",[],,https://cdn.akamai.steamstatic.com/steam/apps/1800340/header.jpg?t=1663951772,,,cursor0x0@ya.ru,True,True,True,0,,0,0,0,,20,0,,0,0,0,0,error0x0,error0x0,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Steam Cloud","Casual,Indie",,"https://cdn.akamai.steamstatic.com/steam/apps/1800340/ss_456a62548cda96bc23dce984c69025a1ab94a186.1920x1080.jpg?t=1663951772,https://cdn.akamai.steamstatic.com/steam/apps/1800340/ss_15f982ebf35cb73d8ee9c1f638ebdc2fa3d7c7e1.1920x1080.jpg?t=1663951772,https://cdn.akamai.steamstatic.com/steam/apps/1800340/ss_44f42000891557ef68f3bd169557a1fd25337f70.1920x1080.jpg?t=1663951772,https://cdn.akamai.steamstatic.com/steam/apps/1800340/ss_597165af1a6b6262446bb2d55bf40ea37bff38c2.1920x1080.jpg?t=1663951772,https://cdn.akamai.steamstatic.com/steam/apps/1800340/ss_ada095ee93af3a201b7dd02dd01c80453d6d9a62.1920x1080.jpg?t=1663951772",http://cdn.akamai.steamstatic.com/steam/apps/256897644/movie_max.mp4?t=1662449646
2236900,Oedo Trigger!!,"Jan 12, 2023",0 - 20000,13,0,21.24,0,"■Story The main character was living an ordinary life, but a mysterious girl he met on the street asked him to help her. He accepts and is suddenly transported back in time to the Edo period ! He ends up fighting with a ray gun against a large number of attacking girls! ■Game System This is a first-person shooter (FPS) game. In addition to fighting from the FPS perspective, you can also fight on a tank, in a helicopter, or in a There are also stages where you fight from a TPS perspective! There are 37 stages!","['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",[],,https://cdn.akamai.steamstatic.com/steam/apps/2236900/header.jpg?t=1673571615,,https://ci-en.dlsite.com/creator/2067,south08022000@gmail.com,True,False,False,0,,0,0,0,,40,0,"This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content",0,0,0,0,CQC Software,CQC Software,"Single-player,Full controller support","Action,Simulation",,"https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_6fc3543b70c917a1c94097c791d1d5a55fec8503.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_16e755d3dfdc6ddfb319636542b040712f3bde9f.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_fe8d81e530797a1e53ff964a7ac66b2c11ae7613.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_2ff229a70fd8793d93981f4de096bd4b8ffe4baf.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_27f47606e0d3e2c5626486311e2ab88935840bcf.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_cbd7e579586153a2d6f5f665629a5d2961aaaf6c.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_0c5e6d260d4553d7c62b9a121ae1c072c424f6f3.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_e86ce777a464e6faa954b71dff351102e20d9280.1920x1080.jpg?t=1673571615,https://cdn.akamai.steamstatic.com/steam/apps/2236900/ss_468d088df780d254dcb5ce0d86625de2a16fb580.1920x1080.jpg?t=1673571615",http://cdn.akamai.steamstatic.com/steam/apps/256922069/movie_max.mp4?t=1671530692
1161210,Ray Versus,"Jan 3, 2020",0 - 20000,0,0,1.99,0,"Ray Versus is the exciting and simple 2-4 player high-speed battle game. 1 round is about 1 minute. Player who defeated the most enemies by combining two selected skills and the main gun “Ray” is winner. Unique skills and stages make various situations! Every decision counts. Team battle is available. Is your friend cooperative? Find your original battle style, defeat your friends! Features ・2-4 player local multiplayer battle ・2 players playable a keyboard ・Online play with your friends by Remote Play Together ・15 unique skills ・11 stages ・Dynamic particle art style","['English', 'Japanese']",[],,https://cdn.akamai.steamstatic.com/steam/apps/1161210/header.jpg?t=1580719441,,,unitycsharp@gmail.com,True,False,True,0,,0,1,0,,6,0,,0,0,0,0,Yosian,Yosian,"Multi-player,PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Remote Play Together","Casual,Indie","Indie,Casual,Action,4 Player Local,Local Multiplayer","https://cdn.akamai.steamstatic.com/steam/apps/1161210/ss_0bf6ba92bc7deeb52589a2d26bf49c316813330f.1920x1080.jpg?t=1580719441,https://cdn.akamai.steamstatic.com/steam/apps/1161210/ss_341fd3ad2e30f4925365f440ddb39ca7adf11ed0.1920x1080.jpg?t=1580719441,https://cdn.akamai.steamstatic.com/steam/apps/1161210/ss_18d239026db751a18b076e6302bd9816fc95dde8.1920x1080.jpg?t=1580719441,https://cdn.akamai.steamstatic.com/steam/apps/1161210/ss_779e782a8058eb67391d50e89828d090e783912d.1920x1080.jpg?t=1580719441,https://cdn.akamai.steamstatic.com/steam/apps/1161210/ss_93a196dbc568153533017fb133db77c9aba949d9.1920x1080.jpg?t=1580719441",http://cdn.akamai.steamstatic.com/steam/apps/256767444/movie_max.mp4?t=1574246975
1085800,Zenkat,"Jun 12, 2019",0 - 20000,0,0,1.99,0,"Welcome to ZenKat! A game that can take 10 minutes or 10 years to complete depending on your ability to remain determined and focused. Play as the ZenKat, the guardian of time and space in the realm of oriental felines, an immortal cat that is always willing to give it another shot as long as it's instructor is willing to persevere. Help ZenKat by finishing all of his puzzling tasks and finding out what lies at the end of the Realm of Elements. Reviews: 10/10 for cats - Cindy, 42 Please stop sending me this to review - Commander Sheppard, like 45 It's like a puzzle game made by Satan himself - Satan, himself",['English'],['English'],,https://cdn.akamai.steamstatic.com/steam/apps/1085800/header.jpg?t=1560330627,,https://web.facebook.com/retracegaming/,,True,False,False,0,,0,0,1,,0,0,,0,0,0,0,Retrace Gaming,Retrace Gaming,Single-player,"Casual,Indie,Strategy","Indie,Casual,Strategy,Education,Cats","https://cdn.akamai.steamstatic.com/steam/apps/1085800/ss_f59a7c9e0831ae38faa849a67a4308d1f4034b5d.1920x1080.jpg?t=1560330627,https://cdn.akamai.steamstatic.com/steam/apps/1085800/ss_f944767bac18097d0c320bae5cdbfd011cebfe70.1920x1080.jpg?t=1560330627,https://cdn.akamai.steamstatic.com/steam/apps/1085800/ss_44cfec8d47b897a8971422ca7e6ecea9006f3650.1920x1080.jpg?t=1560330627,https://cdn.akamai.steamstatic.com/steam/apps/1085800/ss_67411d5bf948552e02013d846f99ff03887f3aae.1920x1080.jpg?t=1560330627,https://cdn.akamai.steamstatic.com/steam/apps/1085800/ss_368d06b1706e5377755a40baaf2a98f0e8d11c08.1920x1080.jpg?t=1560330627",http://cdn.akamai.steamstatic.com/steam/apps/256750947/movie_max.mp4?t=1559144439
1957080,Our Fate Forsaken - Yaoi BL Visual Novel,"May 20, 2022",0 - 20000,1,0,4.99,0,"After his death, Zeph became an angel, but he has no recollection of his time as a human. In the afterlife, he meets Archangel Gabriel, who is oddly possessive of him. One day, Zeph decides to visit Earth and encounters a human named Asa, with who he feels a strange connection. Gabriel used to be his guardian angel, and Asa is still his soulmate. It's no wonder the two are strangely fond of him. Maybe too fond of him... DISCLAIMER! Mentions the afterlife, suicide, and death (No depictions) - SFW - 35K words - 7 Endings - 17 CGs Credits to Dova Syndrome for background music and music used for the trailer. Credits to Zapsplat for sound effects.",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1957080/header.jpg?t=1653052291,https://chanimk19.wixsite.com/chanimk,,chanimk19@gmail.com,True,True,True,0,,0,1,0,,10,0,,0,0,0,0,ChaniMK,ChaniMK,"Single-player,Steam Achievements","Casual,Indie,Simulation","Casual,Simulation,Visual Novel,2D,Anime,Text-Based,LGBTQ+,Romance,Supernatural,Indie,Multiple Endings,Story Rich,Singleplayer","https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_9f94230e709c04f73754938b644ac3eeeb532913.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_544563ef07829e9e9c07e519b42e5c894e093a33.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_1e241fa5c2dd321bc4a2866eb543c62defd00e6a.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_f8ef9ab17f5cfc4434e823c51280a3724c795e06.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_db0db0c9dd6a8173ff7fcd0ac1d23e1f168dc707.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_c8e5a793361504f266c7a01d0491aa356288b85c.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_56813898c34fc12baed820d1b077d52c1e59aa81.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_c938d905de4d157e6969c612341a74f899b3b8e4.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_67d17acedf5ad9501f5af223943531b5f5e12e7a.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_37fdcf118f40c846ac601717ffb34af9b61d4fe2.1920x1080.jpg?t=1653052291,https://cdn.akamai.steamstatic.com/steam/apps/1957080/ss_fc4ce8c0760ed7c2cc209345caa4ed763d993abe.1920x1080.jpg?t=1653052291",http://cdn.akamai.steamstatic.com/steam/apps/256881315/movie_max.mp4?t=1649421357
894330,One Hunt,"Jul 25, 2018",0 - 20000,0,0,1.99,0,"One Hunt is a condensed hardcore survival game. One Hunt uses straightforward mechanics that don't over complicate the experience. This hostile environment is teeming with danger. The weather is brutal, the predators are abundant, and the One You Hunt is fierce. In order to survive, you must collect sticks to create fires, find ammo to keep your shotgun loaded, and keep your ears keen to the One You Hunt. Throughout the map there are cabins that can keep you out of the cold. They also contain useful items like snowshoes, ammo, and parkas. Can you survive this hostile environment and claim the One You Hunt?",['English'],['English'],,https://cdn.akamai.steamstatic.com/steam/apps/894330/header.jpg?t=1615553821,,,zoltoks@gmail.com,True,False,False,0,,0,13,5,,0,0,,0,0,0,0,Jonathan Moye,Jonathan Moye,Single-player,"Action,Adventure,Indie,Simulation,Early Access","Early Access,Survival,Exploration,Action-Adventure,Hunting,Horror,PvE,Building,Stealth,Shooter,3D,Survival Horror,Investigation,FPS,First-Person,Surreal,Snow,Linear,Nature,Crafting","https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_531e8f1d0b82a9fc3e9216a3402c3a601d466492.1920x1080.jpg?t=1615553821,https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_fdbac7657cd4150aafa330942ca1116a349e3b00.1920x1080.jpg?t=1615553821,https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_79a8d9cf31f0df925dd17ad576cb0548d3ad952b.1920x1080.jpg?t=1615553821,https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_182de1b672491dc82750cc9576c53cf3a243c727.1920x1080.jpg?t=1615553821,https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_508b7d4cb28491c30ce639bba1450893dc6d6639.1920x1080.jpg?t=1615553821,https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_f52d4dd2bfd2de9aaf1b23a0ed3026736b9ceb56.1920x1080.jpg?t=1615553821,https://cdn.akamai.steamstatic.com/steam/apps/894330/ss_2f61674fa140c07bb23c291f79d006504aab5588.1920x1080.jpg?t=1615553821",http://cdn.akamai.steamstatic.com/steam/apps/256825639/movie_max.mp4?t=1615553816
1464610,Dark Side of War,"Dec 4, 2020",0 - 20000,0,0,10.99,0,"Dark Side of War - is a classic 3D shooter with hardcore elements where you are a single soldier fighting in the enemy rear. 1942 year. It is the peak of the Great Patriotic War. You are a lonely soldier and go the enemy rear. Just you and your soldier’s skills! The main aim is to clean one of the enemy’s bases and possibly survive. Look for ammos, kill enemies, make right decisions. Only then you will be able to win in the war. Be careful! Remember you have the only life for ending the mission. This is the key fact which differs the game from other similar ones. Go ahead! GAME FEATURES: · Classic gameplay of the ninetieths; · Various levels with unique design; · Hardcore gameplay, every patron is important; · Special soundtracks;",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1464610/header.jpg?t=1633068956,,,lina.taylor1998@mail.ru,True,False,False,0,,0,35,17,,0,0,,0,0,0,0,NL Studio,KazakovStudios,Single-player,"Action,Adventure,Casual,Indie","Action,Simulation,Shooter,Survival,Horror,3D,Indie,Gore,Exploration,Adventure,Casual,War,Story Rich,Family Friendly,Comedy,Singleplayer,Fast-Paced,Minimalist,First-Person,Pixel Graphics","https://cdn.akamai.steamstatic.com/steam/apps/1464610/ss_3794c99e41aab2d3aa08a64feed5c6e27a123099.1920x1080.jpg?t=1633068956,https://cdn.akamai.steamstatic.com/steam/apps/1464610/ss_0b269cffc5541a476a276ca19552170e22034c81.1920x1080.jpg?t=1633068956,https://cdn.akamai.steamstatic.com/steam/apps/1464610/ss_160528302d2f5c5ea35a20a0406f575e3b19a2cf.1920x1080.jpg?t=1633068956,https://cdn.akamai.steamstatic.com/steam/apps/1464610/ss_00696b67a8fd2f0f268c7123654d9e5236273642.1920x1080.jpg?t=1633068956,https://cdn.akamai.steamstatic.com/steam/apps/1464610/ss_53124cb385c5431b2984ef1abc601ba9bd69b73c.1920x1080.jpg?t=1633068956,https://cdn.akamai.steamstatic.com/steam/apps/1464610/ss_311604ed378b4fabfc3fa0c7d6d627141aadc539.1920x1080.jpg?t=1633068956",http://cdn.akamai.steamstatic.com/steam/apps/256808225/movie_max.mp4?t=1605068365
1090910,Rapture,"Aug 25, 2020",0 - 20000,0,0,4.99,1,"Rapture is a turn based procedurally generated dungeon crawler with challenging but fair combat. Your objective is to explore the depths of Rapture - an otherworldly dimension that slowly devours time and space, threatening the very fabric of existence. Your team is tasked with finding the source of Rapture and putting an end to it, securing the future of humanity and time itself. Procedurally generated dungeons filled with different enemies, events and items. Each session should never be identical. An in-depth turn based combat system that requires you to take full advantage of your party's skill set and to act strategically to succeed. A large cast of characters, each with it's own abilities, strengths and weaknesses. Extensive party customization with various items and upgrade terminals. Further customize your characters by learning new abilities as you progress through Rapture. Compose your ideal exploration party from a number of different adventurers to choose from, each with their own strength and weaknesses. Discover which adventurers work best together and develop your own strategies from a large cast of playable characters. Every character has their own set of abilities and an exclusive starting Relic that makes them stand out from the rest. Rapture is constantly growing and changing. Each session you'll be faced with different challenges as the layout of Rapture shifts constantly. Rapture features procedurally generated dungeons with randomized relics, events and encounters to keep each session unique. Make your way through the various different layers of Rapture, with each layer becoming increasingly more challenging the longer you descent. Each layer has it's own set of boss encounters, ready to stop adventurers in their tracks as they make their way deeper into Rapture. Throughout Rapture, you'll discover powerful Relics that can be equipped to your characters to provide them with bonuses and various passive effects. Experiment with various different combinations and synergies to unlock your party's full potential. Your characters can be further customized by reaching the Terminal Room. Spend your hard earned currency on upgrading your party's attributes and restoring their lost vitality. Teach your characters new abilities to prepare for the challenges waiting for you in the layers of Rapture. Interact with mysterious Data Crystals scattered throughout Rapture to change a character's abilities to match your needs.",['English'],['English'],,https://cdn.akamai.steamstatic.com/steam/apps/1090910/header.jpg?t=1599504015,,,s4trace@gmail.com,True,False,False,0,,0,4,1,,27,0,,0,0,0,0,Platinum Star Games,Platinum Star Games,"Single-player,Steam Achievements,Steam Cloud,Stats","Indie,RPG,Strategy","Turn-Based Combat,Sci-fi,Dungeon Crawler,RPG,Party-Based RPG,Rogue-lite,Turn-Based Tactics,Procedural Generation,Post-apocalyptic,Cyberpunk,Singleplayer,Pixel Graphics,Rogue-like,Character Customization,Multiple Endings,Strategy,Indie,2D,Combat","https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_b861dc6d11f2dc7cd757a2b352d8713b5780d9e6.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_895b5c7c74096337bef4957e5b7f48727d4da59f.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_b9c740dc856d5e70042cb2bf03b90fdf317a125a.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_75fe6682059d2d8bc5e25bb0262108950ef0b71e.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_1622a201471f515241af7a852a7475122114dbf7.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_bb068ead31c24564c5186b39a08a59f2ec8e6563.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_ff8503d375a0424c5f7d4abba7a54c47e643ee1f.1920x1080.jpg?t=1599504015,https://cdn.akamai.steamstatic.com/steam/apps/1090910/ss_383d4843d3a52bb50f6ef6f6d8baeb60bcc1b190.1920x1080.jpg?t=1599504015",http://cdn.akamai.steamstatic.com/steam/apps/256794020/movie_max.mp4?t=1595758642
1046750,Extinction: Alien Invasion,"Mar 29, 2019",0 - 20000,0,0,4.99,0,"Extinction Alien Invasion is an arcade shooter with elements of RPG, inspired by games like: Dead nation, Shadowgrounds, Alien Breed and Alien Swarm. In the game you will control a mercenary at the beginning of an alien invasion doing everything to protect the human race. Annihilate waves of aliens, build your base, improve your mercenary, do it all with a sound track bathed in rock. Key Features: -&gt; Two game modes -&gt; Cooperative gameplay for two players. -&gt; Joystick support. -&gt; Dynamic combat system -&gt;Several skills for you to play in your own way. -&gt;Over 50 weapons to collect. -&gt; Are you finding the game easy?! How about customizing your difficulty?!With mods system is possible, change enemies' damage, health, attack properties, speed and more. -&gt;Various types of enemies. -&gt;Several items to build during the horde mode. -&gt;Soundtrack bathed to much rock.",['English'],['English'],,https://cdn.akamai.steamstatic.com/steam/apps/1046750/header.jpg?t=1553866877,,,KZ_GAMES@outlook.com,True,False,False,0,,0,5,6,,23,0,"This game contains graphic violence, Blood and gore.",0,0,0,0,Henrique Lima,KZ GAMES,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Partial Controller Support,Remote Play Together","Action,Indie","Action,Indie,Violent","https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_7c9f5289e6f3e309eaaf9ad115ee5af5b0d31c13.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_307c9574037461e4d7032e1e729259fc41e2318b.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_44077004b5649fc5200b6700f9127a551048d0c9.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_1c1452a51afd766cafb91f79a4e38ffd9166f484.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_275c841964439170d18b96e1b7bd491f36f0c844.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_b1cfd51bbf1bbd61632fc39dd03f8d26cb3574cc.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_23ca4793a3fac44fe9a14360d76e119f1e46f15b.1920x1080.jpg?t=1553866877,https://cdn.akamai.steamstatic.com/steam/apps/1046750/ss_7d6078ab5b8ee9ac6a96a56d56990ef695387862.1920x1080.jpg?t=1553866877",http://cdn.akamai.steamstatic.com/steam/apps/256744785/movie_max.mp4?t=1552077792
